ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,"Studies of neptunium(V) Sorption Behaviour on Quartz, Clinoptilolite, Montmorillonite, and a-Alumina1998",bpa98,not found,1998,NA,NA,131-148,"Bertetti, F. , Pabalan, R. and Almedarez, M.","Studies of neptunium(V) Sorption Behaviour on Quartz, Clinoptilolite, Montmorillonite, and a-Alumina"
,Neptunium Migration in Salt Brine Aquifers1986,bdp86,http://dx.doi.org/10.13182/NT86-A33833,1986,Nuclear Technology,74,307-316,"Bidoglio, G. and De Plano, A.",Neptunium Migration in Salt Brine Aquifers
,Geochemical Pattern of Americium in the Saline Area Surrounding a Rock Salt Formation1984,badpl84,not found,1984,Radioactive Waste Management and the Nuclear Fuel Cycle,5,311-326,"Bidoglio, G. , Avogadro, A. , De-Plano, A. and Lazzari, G. P.",Geochemical Pattern of Americium in the Saline Area Surrounding a Rock Salt Formation
,Neptunium Migration in Oxidizing Clayey Sand1987,bos87,http://dx.doi.org/10.1016/0883-2927(87)90043-6,1987,Applied Geochemistry,2,275-284,"Bidoglio, G. , Offermann, P. and Saltelli, A.",Neptunium Migration in Oxidizing Clayey Sand
,Fixation d elements transuraniens a differents degred d oxydation sur les argiles.1982,b82,not found,1982,NA,NA,167-176,"Billon, A.",Fixation d elements transuraniens a differents degred d oxydation sur les argiles.
,Partition Coefficients(Kd Values) for Tc in Shield Lake Sediments under Oxidizing and Reucing Conditions1997,bs97,not found,1997,Water Research,31,1673-1678,"Bird, G. A. and Schwartz, W. J.",Partition Coefficients(Kd Values) for Tc in Shield Lake Sediments under Oxidizing and Reucing Conditions
,Investigations on Radionuclide Retardation at ASSE Salt Mine - R & D Program and First Results1986,b86,not found,1986,Proc.of the 2nd Inter.Conf.on Radioactive Waste Management,NA,121-130,"Bode, W.",Investigations on Radionuclide Retardation at ASSE Salt Mine - R & D Program and First Results
,Examinations to determine the storage characteristics of rocks over the well Asse II with regard to dissolved radionuclides1989,b89,not found,1989,"GSF-Bericht,16/89",NA,NA,"Bode, W.",Examinations to determine the storage characteristics of rocks over the well Asse II with regard to dissolved radionuclides
,Influence of Dissolved Organic Substances in Groundwater on Sorption Behavior of Americium and Neptunium1984,bjs84,not found,1984,ANL-83-84,NA,all page,"Boggs, S. Jr. and Seitz, M. G.",Influence of Dissolved Organic Substances in Groundwater on Sorption Behavior of Americium and Neptunium
,Geochemical Modelling of the Sorption of Tetravalent Radioelements1991,bt91,not found,1991,Nirex safety Series Report,NA,all page,"Bond, K. A. and Tweed, C. J.",Geochemical Modelling of the Sorption of Tetravalent Radioelements
,Geologic migration potentials of technetium-99 and neptunium-2371979,bf79,http://dx.doi.org/10.1126/science.203.4387.1337,1979,Science,203,1337-1340,"Bondietti, E.A. and Francis, C.W.",Geologic migration potentials of technetium-99 and neptunium-237
,"The effect of clay mineralogy and pH on sorption and desorption of cadmium and lead: the overlying clay formation, North Bohemian Brown Coal Basin1996",bs96,not found,1996,Geologica,38,105-117,"Borovec, Z. and Skocek, V.","The effect of clay mineralogy and pH on sorption and desorption of cadmium and lead: the overlying clay formation, North Bohemian Brown Coal Basin"
,Studies on the Role of Natural and Anthropogenic Organic Substances in the Mobility of Radioiodine in Soils1988,bkm88,http://dx.doi.org/10.1524/ract.1988.4445.1.201,1988,Radiochimica Acta,44/45,201-206,"Bors, J. , Kuehn, W. and Martens, R.",Studies on the Role of Natural and Anthropogenic Organic Substances in the Mobility of Radioiodine in Soils
,Studies of the Liquid-Solid Ratio Effect on the Distribution Ratio Rd in Sorption1994,bea94,http://dx.doi.org/10.1557/PROC-353-1069,1994,"Abstracts of 18th International Symposium on the Scientific Basis for Nuclear Waste Management, Kyoto",NA,139-140,"Bors, J. , Erten, H. N. and Assemi, S.",Studies of the Liquid-Solid Ratio Effect on the Distribution Ratio Rd in Sorption
,Sorption characteristics of radioiodide on organophilic bentonite1997,bgd97,http://dx.doi.org/10.1524/ract.1997.78.special-issue.117,1997,Radiochimica Acta,78,117-121,"Bors, J. , Gorny, A. and Dultz, S.",Sorption characteristics of radioiodide on organophilic bentonite
,Modelling the Sorption of Zn and Ni on Ca-montmorillonite1999,bb99,http://dx.doi.org/10.1016/S0016-7037(98)00281-6,1999,Geochimica et Cosmochimica Acta,63,325-336,"Bradbury, M. H. and Baeyens, B.",Modelling the Sorption of Zn and Ni on Ca-montmorillonite
,Modelling the Sorption of Zn and Ni on Ca-montmorillonite1999,bb99,http://dx.doi.org/10.1016/S0016-7037(98)00281-6,1999,Geochimica et Cosmochimica Acta,63,325-336,"Bradbury, M. H. and Baeyens, B.",Modelling the Sorption of Zn and Ni on Ca-montmorillonite
,Sorption of Eu on Na- and Ca-montmorillonites: Experimental Investigations and modelling with Cation Exchange and Surface Complexation2002,bb02,http://dx.doi.org/10.1016/S0016-7037(02)00841-4,2002,Geochimica et Cosmochimica Acta,66,2325-2334,"Bradbury, M. and Baeyens, B.",Sorption of Eu on Na- and Ca-montmorillonites: Experimental Investigations and modelling with Cation Exchange and Surface Complexation
,Near-Field Sorption Data Bases for Compacted MX-80 Bentonite for Performance Assessment of a High-Level Radioactive Waste Repository in Opalinus Clay Host Rock2003,bb03,not found,2003,Technical Report ,NA,NA,"Bradbury M. H. and Baeyens, B.",Near-Field Sorption Data Bases for Compacted MX-80 Bentonite for Performance Assessment of a High-Level Radioactive Waste Repository in Opalinus Clay Host Rock
,"Sorption modelling on illite Part I: Titration measurements and the sorption of Ni, Co, Eu and Sn2009",bb09a,http://dx.doi.org/10.1016/j.gca.2008.11.017,2009,Geochimica et Cosmochimica Acta,73,990-1003,"Bradbury, M. H. and Baeyens, B.","Sorption modelling on illite Part I: Titration measurements and the sorption of Ni, Co, Eu and Sn"
,Sorption modelling on illite Part II: Actinide sorption and linear free energy relationships2009,bb09b,http://dx.doi.org/10.1016/j.gca.2008.11.016,2009,Geochimica et Cosmochimica Acta,73,1004-1013,"Bradbury, M. H. and Baeyens, B.",Sorption modelling on illite Part II: Actinide sorption and linear free energy relationships
,"Porosity, sorption and diffusivity data compiled for the SKB 91 study1991",bs91,not found,1991,SKB Technical Report,91-16,NA,"Brandberg, F. and Skagius, K.","Porosity, sorption and diffusivity data compiled for the SKB 91 study"
,"The magnesia-silica gel phase in slag cements: alkali (K, Cs) sorption potential of synthetic gels2005",bg05,http://dx.doi.org/10.1016/j.cemconres.2004.03.016,2005,Cement and Concrete Research,35,77-83,"Brew, D. M. R. and Glasser, F. P.","The magnesia-silica gel phase in slag cements: alkali (K, Cs) sorption potential of synthetic gels"
,Interaction between montmorillonite and pollutants from industrial waste-waters: exchange of Zn2+ and Pb2+ from aqueous solutions1995,bcfmmp95,http://dx.doi.org/10.1016/0169-1317(94)00027-N,1995,Applied Clay Science,9,383-395,"Brigatti, M.F., Corradini, F., Franchini, G.C., Mazzoni, S., Medici, L. and Poppi, L.",Interaction between montmorillonite and pollutants from industrial waste-waters: exchange of Zn2+ and Pb2+ from aqueous solutions
,Modelling and experimental studies of sorption in the near field of a cementitious repository1990,bhmcst90,http://dx.doi.org/10.1557/PROC-176-591,1990,Materials Research Society Symposium Proceedings,176,591-598,"Brown, P. L. , Haworth, A. , McCrohon, R. , Sharland, S. M. and Tweed, C. J.",Modelling and experimental studies of sorption in the near field of a cementitious repository
,Migration Characteristics of Radionuclides Through Sediments Underlying the Hanford Reservation1967,b67,not found,1967,"Disposal of Radioactive Wastes in the Ground, Proceedings of a Symposium, Vienna 29, May-2, June 1967",NA,215-228,"Brown, D. J.",Migration Characteristics of Radionuclides Through Sediments Underlying the Hanford Reservation
,The solubility and sorption of uranium(VI) in a cementitious repository.1989,bbemcosbt89,http://dx.doi.org/10.1557/PROC-176-577,1989,Materials Research Society Symposium Proceedings,176,577-582,"Brownsword, M. , Buchan, A. B. , Ewart, F. T. , McCrohon, R. , Omerod, G. J. , Smith-Briggs, J. L. and Thomason, H. P.",The solubility and sorption of uranium(VI) in a cementitious repository.
,Sorption of Uranium and Plutonium on Bentonite Altered by Highly Alkaline Water2000,bmw00,http://dx.doi.org/10.1557/PROC-608-249,2000,Materials Research Society Symposium Proceedings,608,249-254,"Brownsword , M. , Mihara, M. and Williams, S. J.",Sorption of Uranium and Plutonium on Bentonite Altered by Highly Alkaline Water
,"Selenite reduction in Boom clay: Effect of FeS sub 2 , clay minerals and dissolved organic matter2005",bmvv05,http://dx.doi.org/10.1016/j.envpol.2005.02.010,2005,Environmental Pollution,NA,209-221,"Bruggeman, C. , Maes, A. , Vancluysen, J. and Vandemussele, P.","Selenite reduction in Boom clay: Effect of FeS sub 2 , clay minerals and dissolved organic matter"
,NA,n,not found,NA,NA,NA,NA,,
,Comparison of radiotracer Kd values from batch equilibration experiments with in-situ determinations in the deep-sea using the MANOP Lander1986,bsb86,not found,1986,NA,NA,192-205,"Buchholtz, M.R., Santschi, P.H. and Broecker, W.S.",Comparison of radiotracer Kd values from batch equilibration experiments with in-situ determinations in the deep-sea using the MANOP Lander
,Evaluation of Backfill Materials for a Shallow-Depth Repository1986,batw86,not found,1986,Proc.of the 2nd Inter.Conf.on Radioactive Waste Management,NA,212-216,"Buckley, L. P. , Arbique, G. M. , Tosello, N. B. and Woods, B. L.",Evaluation of Backfill Materials for a Shallow-Depth Repository
,Transport of colloidal contaminants in groundwater: radionuclide migration at the Nevada Test Site1988,bh88,http://dx.doi.org/10.1016/0883-2927(88)90025-X,1988,Applied Geochemistry,3,535-548,"Buddemeier, R.W. and Hunt, J.R.",Transport of colloidal contaminants in groundwater: radionuclide migration at the Nevada Test Site
,Interactions of radionuclide with hard rock.1998,b98,not found,1998,NATO Advanced Study Institute on Actinide and the Environment; Maleme,NA,313-316,"Bunatova, V.",Interactions of radionuclide with hard rock.
,Distribution Coefficients of 137Cs and 85Sr by Mixtures of Clay and Humic Material1985,bs85,not found,1985,Journal of Radioanalytical and Nuclear Chemistry ,90,23-37,"Bunzl, K. and Schultz, W.",Distribution Coefficients of 137Cs and 85Sr by Mixtures of Clay and Humic Material
,The Interaction of Sorbing and Non-Sorbing Tracers with Different Aespoe Rock Types. Sorption and Diffusion Experiments in the Laboratory Scale1998,bjst98,not found,1998,SKB Technical Report,NA,all page,"Byegard, J. , Johansson, H. , Skaalberg, M. and Tullborg, E. L.",The Interaction of Sorbing and Non-Sorbing Tracers with Different Aespoe Rock Types. Sorption and Diffusion Experiments in the Laboratory Scale
,Bedrock transport properties Preliminary site description Simpevarp subarea - version 1.22005,bgtb05,not found,2005,SKB Technical Report,NA,NA,"Byegard, J. , Gustavsson, E. , Tullborg, E.-L. and Berglund, S.",Bedrock transport properties Preliminary site description Simpevarp subarea - version 1.2
,Sorption Characteristics of 137Cs onto Bentonite (Clay minerals) : Effect of Mineral Structure and Ionic Strength1996,cjh96,not found,1996,Journal of Radioanalytical and Nuclear Chemistry ,204,33-43,"Cho, Y.-H. , Jeong, C.-H. and Hahn, P.-S.",Sorption Characteristics of 137Cs onto Bentonite (Clay minerals) : Effect of Mineral Structure and Ionic Strength
,Studies on the sorption characteristics of sup 90 Sr onto Granite and Tuff.1997,cph97,not found,1997,Journal of the Korean Nuclear Society,NA,393-398,"Cho, Y. H. , Park, C. K. and Hahn, P. S.",Studies on the sorption characteristics of sup 90 Sr onto Granite and Tuff.
,Studies on the sorption characteristics of sup 90 Sr onto Granite and Tuff.1997,cph97,not found,1997,Journal of the Korean Nuclear Society,29,393-398,"Cho, Y. H. , Park, C. K. and Hahn, P. S.",Studies on the sorption characteristics of sup 90 Sr onto Granite and Tuff.
,Cadmiun and Nickel Distribution Coefficient for Sandy Aquifer Minerals1996,cljh96,not found,1996,Jornel of Contaminant Hydrogy,24,75-84,"Christensen, T. H. , Lehmann, N. , Jackson, T. and Holm, P. E.",Cadmiun and Nickel Distribution Coefficient for Sandy Aquifer Minerals
,"A comparison of sequential extraction techniques to estimate geochemical controls on the mobility of fission product, actinide, and heavy metal contaminants in soils1996",cjmsh96,http://dx.doi.org/10.1524/ract.1996.74.special-issue.173,1996,Radiochimica Acta,74,173-179,"Clark, S.B., Johnson, W.H., Malek, M.A., Serkiz, S.M. and Hinton, T.G.","A comparison of sequential extraction techniques to estimate geochemical controls on the mobility of fission product, actinide, and heavy metal contaminants in soils"
,Geochemical Studies of Sorption and Transport of Radionuclides in Rock Media1980,cwt80,not found,1980,PNL Report,2-Jan,357-434,"Coles, D. G. , Weed, H. C. and Tewhey, J. D.",Geochemical Studies of Sorption and Transport of Radionuclides in Rock Media
,Validity of Batch Sorption Data to Describe Selenium Transport through Unsaturated Tuff1996,ct96,not found,1996,NA,NA,all page,"Conca, J. L. and Triay, I. R.",Validity of Batch Sorption Data to Describe Selenium Transport through Unsaturated Tuff
,The nirex safety assessment research programme:Annual report for 1987/881988,c88,not found,1988,Nirex safety Series Report,NA,NA,"Cooper, M. J.",The nirex safety assessment research programme:Annual report for 1987/88
,Sorption of Nickel on Marl1992,ca92,http://dx.doi.org/10.1007/BF02168271,1992,Journal of Radioanalytical and Nuclear Chemistry ,164,389-396,"Cornell, R. M. and Aksoyoglu, S.",Sorption of Nickel on Marl
,The Sorption of Thorium and Americium onto Fresh and Degraded Ordinary Portland Cement and onto Green Tuff2006,cbchmw06,http://dx.doi.org/10.1557/PROC-932-18.1,2006,Materials Research Society Symposium Proceedings,932,925-932,"Cowper, M. M. , Baker, S. , Chambers, A. V. , Heath, T. G. , Mihara, M. and Williams, S. J.",The Sorption of Thorium and Americium onto Fresh and Degraded Ordinary Portland Cement and onto Green Tuff
,On the sorption of Co and Cs on stripa granite fracture-filling material.1997,ce97,http://dx.doi.org/10.1524/ract.1997.79.1.29,1997,Radiochimica Acta,79,29-35,"Cui, D. and Eriksen, T. E.",On the sorption of Co and Cs on stripa granite fracture-filling material.
,Diffusion coefficient test of 237Np in bentonite backfill materials2002,cfzgmmmto02,not found,2002,"Proceedings of the international symposium NUCEF 2001. Scientific bases for criticality safety, separation process and waste disposal ",NA,621-626,"Cui, A. , Fan, Z. , Zhang, J. , Gu, C. , Mukai, M. , Maeda, T. , Matsumoto, J. , Tanaka, T. and Ogawa, H.",Diffusion coefficient test of 237Np in bentonite backfill materials
,Summary Report on the Geochemistry of Yucca Mountain and Environs1982,dwrokdntbbb82,not found,1982,NA,NA,1-364,"Daniels, W. R. , Wolfsberg, K. , Rumdberg, R. S. , Ogard, A. E. , Kerrisk, J. F. , Duffy, C. J. , Newton, T. W. , Thompson, J. L. , Bayhurst, B. P. , Bish, D. L. , Blacic, J. D. ,",Summary Report on the Geochemistry of Yucca Mountain and Environs
,"Laboratory Studies of Radionuclide Distributions between Selected Groundwaters and Geologic Media:_x000B_October, 1979-September, 1980.1981",d81,not found,1981,Los Alamos National Laboratory Report ,NA,all page,"Daniels, W. R.","Laboratory Studies of Radionuclide Distributions between Selected Groundwaters and Geologic Media:_x000B_October, 1979-September, 1980."
,Effect of organic ligands on the sorption of europium on TiO2 and cement at high pH2004,mdmmba04,not found,2004,SKB Technical Report,NA,all page,"Marten Dario, Mireia Molera and Bert Allard",Effect of organic ligands on the sorption of europium on TiO2 and cement at high pH
